,Node1,Node2
0,FTO,OGDH
1,FTO,ALKBH1
2,FTO,WFS1
3,FTO,KCNQ1
4,FTO,CDKAL1
5,FTO,TMEM18
6,FTO,INSIG2
7,FTO,CDC123
8,FTO,HHEX
9,FTO,JAZF1
10,FTO,PPARG
11,FTO,UCP1
12,FTO,GNPDA2
13,FTO,METTL3
14,FTO,MC4R
15,FTO,ALKBH3
16,FTO,IGF1
17,FTO,MTCH2
18,FTO,SEC16B
19,FTO,F2
20,FTO,UCP2
21,FTO,LEP
22,FTO,CCDC101
23,FTO,SH2B1
24,FTO,FAIM2
25,FTO,IRX3
26,FTO,KCNJ11
27,FTO,NEGR1
28,FTO,WTAP
29,FTO,TCF7L2
30,FTO,YTHDF1
31,FTO,YTHDF2
32,FTO,RPGRIP1L
33,FTO,IRX6
34,FTO,IGF2BP2
35,FTO,METTL14
36,FTO,TSPAN8
37,FTO,TFAP2B
38,FTO,INS
39,FTO,ALKBH5
40,FTO,NPY
41,FTO,THADA
42,FTO,KCTD15
43,FTO,ALKBH8
44,FTO,ALKBH2
45,FTO,SLC30A8
46,FTO,ADAMTS9
47,FTO,FTO
48,FTO,C1S
49,FTO,YTHDF3
50,FTO,CAMK1D
51,SOS1,PIK3R2
52,SOS1,LCP2
53,SOS1,NCK2
54,SOS1,PLCG1
55,SOS1,MAPK1
56,SOS1,RRAS
57,SOS1,RAC2
58,SOS1,KRAS
59,SOS1,MAP2K2
60,SOS1,GAB1
61,SOS1,MAPK3
62,SOS1,CBL
63,SOS1,EGF
64,SOS1,ERBB3
65,SOS1,ERBB2
66,SOS1,EGFR
67,SOS1,USP6NL
68,SOS1,EPS8
69,SOS1,MAP2K1
70,SOS1,BCR
71,SOS1,RAC3
72,SOS1,MET
73,SOS1,LCK
74,SOS1,GRAP2
75,SOS1,CAV1
76,SOS1,RHOG
77,SOS1,PTPN11
78,SOS1,FYN
79,SOS1,RET
80,SOS1,RAC1
81,SOS1,NRAS
82,SOS1,RAP1A
83,SOS1,VAV2
84,SOS1,ABL1
85,SOS1,SRC
86,SOS1,ABI1
87,SOS1,GRB2
88,SOS1,LAT
89,SOS1,CDC42
90,SOS1,SOS1
91,SOS1,FGFR1
92,SOS1,RHOA
93,SOS1,SHC1
94,SOS1,HRAS
95,SOS1,NCK1
96,SOS1,LAT2
97,SOS1,PIK3R1
98,SOS1,HCK
99,SOS1,FRS2
100,SOS1,AKT1
101,SOS1,VAV1
102,ABCC8,WFS1
103,ABCC8,GCK
104,ABCC8,NEUROG3
105,ABCC8,TRPM4
106,ABCC8,KCNJ8
107,ABCC8,SNAP25
108,ABCC8,STX1A
109,ABCC8,ABCC9
110,ABCC8,PCSK2
111,ABCC8,KCNC1
112,ABCC8,SST
113,ABCC8,KCNJ3
114,ABCC8,NEUROD1
115,ABCC8,NKX6-1
116,ABCC8,ABCC8
117,ABCC8,USH1C
118,ABCC8,KCNJ4
119,ABCC8,PCSK1
120,ABCC8,PRKACA
121,ABCC8,UCP2
122,ABCC8,HNF4A
123,ABCC8,WDTC1
124,ABCC8,SLC2A2
125,ABCC8,RFX6
126,ABCC8,PAX4
127,ABCC8,ENSA
128,ABCC8,KCNJ11
129,ABCC8,ANK2
130,ABCC8,PDE3A
131,ABCC8,KCNJ9
132,ABCC8,KCNJ10
133,ABCC8,NKX6-2
134,ABCC8,TCF7L2
135,ABCC8,SHOC2
136,ABCC8,PRKACB
137,ABCC8,GLP1R
138,ABCC8,NKX2-2
139,ABCC8,PRKACG
140,ABCC8,PDX1
141,ABCC8,GART
142,ABCC8,GLIS3
143,ABCC8,KCNJ1
144,ABCC8,RAPGEF4
145,ABCC8,INS
146,ABCC8,OTOG
147,ABCC8,GCG
148,ABCC8,RAPGEF3
149,ABCC8,SLC30A8
150,ABCC8,SLC16A1
151,ABCC8,MGAM
152,ABCC8,KCNJ12
153,EGFR,EREG
154,EGFR,HBEGF
155,EGFR,KRAS
156,EGFR,CSK
157,EGFR,CDH1
158,EGFR,GAB1
159,EGFR,PLCG1
160,EGFR,PIK3CA
161,EGFR,CBL
162,EGFR,CBLB
163,EGFR,STAT3
164,EGFR,EGF
165,EGFR,ERBB3
166,EGFR,ERBB2
167,EGFR,CBLC
168,EGFR,LRIG1
169,EGFR,EGFR
170,EGFR,EPS8
171,EGFR,STAT5B
172,EGFR,TGFA
173,EGFR,CRK
174,EGFR,ARF4
175,EGFR,HSP90AA1
176,EGFR,CAV1
177,EGFR,PTPN11
178,EGFR,STAT5A
179,EGFR,CTNNB1
180,EGFR,CRKL
181,EGFR,PTRF
182,EGFR,STAT1
183,EGFR,MTOR
184,EGFR,NRG2
185,EGFR,NRAS
186,EGFR,PTPN1
187,EGFR,EPS15
188,EGFR,CTTN
189,EGFR,SPRY2
190,EGFR,ERRFI1
191,EGFR,GRB2
192,EGFR,BTC
193,EGFR,AREG
194,EGFR,USP8
195,EGFR,CDC42
196,EGFR,NRG1
197,EGFR,SOS1
198,EGFR,SHC1
199,EGFR,HRAS
200,EGFR,PIK3R1
201,EGFR,HIF1A
202,EGFR,HCK
203,EGFR,VEGFA
204,JAK2,EPOR
205,JAK2,THPO
206,JAK2,EPO
207,JAK2,KRAS
208,JAK2,CDKN1B
