,TF,Target,Mode of Regulation,References
3,AATF,MYC,Activation,20549547
4,AATF,TP53,Unknown,17157788
12,ABL1,FOXO3,Activation,15509806
13,ABL1,JUN,Activation,15145216
14,ABL1,JUN,Repression,19357699
16,ABL1,TP53,Activation,11753601
22,AHR,ARNT,Unknown,19255421;8631989
23,AHR,BRCA1,Unknown,18259752
41,AHR,MYC,Unknown,11114727;16091746
58,APC,DNMT1,Repression,12538344
60,APC,KLF4,Unknown,12387883
61,APC,MYC,Repression,16510874
70,APEX1,NFKB1,Activation,17045925
72,APEX1,RELA,Activation,17045925
103,AR,EP300,Activation,22334658
120,AR,JUN,Activation,20148354
123,AR,KLF5,Unknown,19460858
133,AR,MYC,Unknown,24512546
136,AR,NFKB1,Repression,18386814
137,AR,NKX3-1,Activation,16697957;17303007
138,AR,NKX3-1,Unknown,11238180
153,AR,RELA,Repression,18386814
181,ARID1A,SMAD3,Unknown,21900401
186,ARID3A,E2F1,Unknown,23659165
187,ARID3A,PML,Activation,22010578
191,ARNT,BRCA1,Unknown,16567799
202,ARNT,ESR1,Unknown,17991765
205,ARNT,HIF1A,Activation,14764593
206,ARNT,JUN,Repression,21544813
281,ATF2,JUN,Activation,9502786
291,ATF2,RELA,Activation,21350211
312,ATF3,TP53,Unknown,22991139
346,ATF4,SIRT1,Activation,22363646
347,ATF4,SIRT1,Repression,21801305
350,ATF4,TRIB3,Activation,15775988
351,ATF4,TRIB3,Unknown,20592469;21220698
359,ATF5,EGR1,Unknown,19531563
375,ATF6,XBP1,Unknown,20003459;24269637
386,ATM,FOXM1,Activation,21518729
398,ATM,SP1,Repression,11466608
399,ATM,SP1,Unknown,12926986
412,BACH2,XBP1,Repression,24821775
413,BARD1,ESR1,Activation,20060929
414,BARX2,ESR1,Unknown,16636675
421,BCL3,NFKB1,Repression,11387332
422,BCL3,NFKB1,Unknown,14573596;7896265
423,BCL3,RELA,Unknown,7896265
435,BCL6,MYC,Activation,21394099
436,BCL6,NFKB1,Repression,15611242
439,BCL6,STAT3,Unknown,17951530
441,BCL6,XBP1,Repression,24821775
442,BDP1,MYC,Unknown,12734418
443,BDP1,RB1,Unknown,12734418
444,BDP1,TP53,Unknown,12734418
447,BIN1,MYC,Unknown,9797456
452,BRCA1,ATM,Activation,22832221
474,BRCA1,EGR1,Unknown,20103632
475,BRCA1,EP300,Activation,11782371
476,BRCA1,EP300,Unknown,11405179
477,BRCA1,ESR1,Activation,20060929
479,BRCA1,FOXC1,Repression,22120723
485,BRCA1,HIF1A,Unknown,16543242
486,BRCA1,HMGA2,Repression,20007691
503,BRCA1,MYC,Unknown,12032322;12646176
506,BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507
507,BRCA1,STAT1,Activation,17374731
509,BRCA1,STAT3,Unknown,11163768
520,BRD7,E2F3,Repression,16475162
521,BRD7,E2F3,Unknown,15137061
530,BTF3,ATM,Activation,17312387
535,BTF3,NFKB1,Repression,17312387
545,CBFB,RUNX1,Unknown,24648201
546,CBFB,RUNX2,Unknown,24648201
558,CDX1,PPARG,Activation,19059241
580,CDX2,KLF4,Activation,11521200
581,CDX2,KLF4,Unknown,23202735
590,CDX2,SP1,Unknown,22580340
596,CDX2,VDR,Unknown,11450701;16604479;16883525;19960008
633,CEBPA,MYC,Repression,12032779
646,CEBPA,STAT3,Unknown,24429361
719,CEBPB,XBP1,Activation,19717648
732,CEBPD,PPARG,Activation,10649448;18619497;20971808
742,CEBPE,MYC,Repression,12947005
755,CHD8,BRCA1,Unknown,16949368
758,CHD8,MYC,Unknown,16949368
763,CIITA,CREBBP,Unknown,9858618
793,CIITA,SIRT1,Repression,22064865
795,CIITA,STAT1,Unknown,12052885
816,CNBP,MYC,Unknown,23774591
827,CREB1,AR,Unknown,15994978;21457548
867,CREB1,JUN,Repression,8647095
868,CREB1,JUN,Unknown,10403485
885,CREB1,NR4A3,Unknown,10701778
932,CREB5,STAT1,Repression,21132541
936,CREBBP,BRCA1,Unknown,23285190
942,CREBBP,EP300,Unknown,15154850
958,CREBBP,TP53,Unknown,15154850
998,CTBP1,BRCA1,Repression,20818429
1009,CTCF,BRCA1,Unknown,19466541;24725430
1021,CTCF,MYC,Activation,19568426
1022,CTCF,MYC,Repression,12032779;12524457
1023,CTCF,MYC,Unknown,24725430;9591631
1037,CTCF,WT1,Unknown,24534946
1039,CTNNB1,AR,Unknown,16141201
1050,CTNNB1,JUN,Activation,20300972
1051,CTNNB1,JUN,Unknown,19671687
1054,CTNNB1,MYC,Activation,20300972;21533051
1055,CTNNB1,MYC,Unknown,17724465;18679417;19662654;19778454
1061,CTNNB1,RB1,Repression,16628468
1101,DDIT3,SIRT1,Repression,21801305
1107,DDIT3,TRIB3,Activation,15775988;18940792
1121,DLX4,BRCA1,Repression,20877436
1126,DLX5,MYC,Activation,19497851
1127,DMAP1,ATM,Unknown,23318425
1130,DMAP1,DNMT1,Unknown,20864525
1142,DNMT1,ESR1,Unknown,21655924;23242655
1144,DNMT1,HDAC1,Unknown,24475290
1153,DNMT1,RB1,Repression,17934516
1162,DNMT1,TP53,Unknown,24006445
1184,E2F1,AR,Activation,21099103
1185,E2F1,AR,Unknown,22508987
1189,E2F1,ATM,Activation,12527885;22832221
1190,E2F1,ATM,Unknown,23993922
1199,E2F1,BRCA1,Repression,20068145
1200,E2F1,BRCA1,Unknown,18660752;19466541;23285190
1218,E2F1,CREBBP,Unknown,9238849
1221,E2F1,CUX1,Unknown,18347061
1227,E2F1,DNMT1,Repression,24502362
1232,E2F1,E2F1,Unknown,7958836
1244,E2F1,FOXM1,Activation,21518729
1250,E2F1,HIC1,Activation,19491197
1277,E2F1,MYC,Activation,11705881
1291,E2F1,PPARG,Activation,12110166
1292,E2F1,PPARG,Unknown,20971808
1299,E2F1,RB1,Activation,8264596
1319,E2F1,TP53,Activation,15706352
1320,E2F1,TP53,Repression,8557038
1321,E2F1,TP53,Unknown,12625370;21441950;22241525
1329,E2F1,UHRF1,Activation,12838312;15361834
1330,E2F1,UHRF1,Unknown,23023523
1336,E2F2,CUX1,Unknown,18347061
1344,E2F3,CUX1,Unknown,18347061
1351,E2F4,AR,Unknown,22508987
1354,E2F4,BRCA1,Activation,20818429
1355,E2F4,BRCA1,Repression,17106239;20133863;21701264;23108140
1356,E2F4,BRCA1,Unknown,17001309
1360,E2F4,CUX1,Unknown,18347061
1368,E2F4,MYC,Unknown,17132729
1372,E2F4,PPARG,Repression,12110166
1379,E2F5,MYC,Unknown,17132729
1381,E2F6,BRCA1,Unknown,19466541
1384,E2F6,E2F1,Repression,18562691
1387,E2F7,E2F1,Repression,18202719
1389,E2F8,E2F1,Repression,18202719
